日期,销量
2020-01-01,545
2020-01-02,533
2020-01-03,523
2020-01-04,561
2020-01-05,543
2020-01-06,534
2020-01-07,557
2020-01-08,547
2020-01-09,574
2020-01-10,558
2020-01-11,556
2020-01-12,573
2020-01-13,565
2020-01-14,610
2020-01-15,610
2020-01-16,580
2020-01-17,586
2020-01-18,601
2020-01-19,637
2020-01-20,622
2020-01-21,619
2020-01-22,622
2020-01-23,619
2020-01-24,638
2020-01-25,649
2020-01-26,634
2020-01-27,645
2020-01-28,677
2020-01-29,651
2020-01-30,684
2020-01-31,659
2020-02-01,696
2020-02-02,709
2020-02-03,713
2020-02-04,707
2020-02-05,715
2020-02-06,692
2020-02-07,700
2020-02-08,714
2020-02-09,719
2020-02-10,717
2020-02-11,743
2020-02-12,728
2020-02-13,750
2020-02-14,747
2020-02-15,731
2020-02-16,777
2020-02-17,743
2020-02-18,756
2020-02-19,793
2020-02-20,795
2020-02-21,763
2020-02-22,788
2020-02-23,797
2020-02-24,782
2020-02-25,784
2020-02-26,814
2020-02-27,804
2020-02-28,823
2020-02-29,801
2020-03-01,843
2020-03-02,855
2020-03-03,858
2020-03-04,862
2020-03-05,840
2020-03-06,872
2020-03-07,836
2020-03-08,880
2020-03-09,876
2020-03-10,869
2020-03-11,899
2020-03-12,864
2020-03-13,875
2020-03-14,879
2020-03-15,890
2020-03-16,919
2020-03-17,926
2020-03-18,910
2020-03-19,899
2020-03-20,929
2020-03-21,940
2020-03-22,946
2020-03-23,951
2020-03-24,955
2020-03-25,934
2020-03-26,962
2020-03-27,945
2020-03-28,943
2020-03-29,963
2020-03-30,968
2020-03-31,962
2020-04-01,989
2020-04-02,984
2020-04-03,975
2020-04-04,977
2020-04-05,1020
2020-04-06,1022
2020-04-07,1025
2020-04-08,1036
2020-04-09,1020
